,longitude,latitude
0,132.6720704,-23.8917135
1,132.6720704,-23.8917135
2,-0.10359892518182634,51.5276441
3,-0.12765,51.5073359
4,-0.12765,51.5073359
5,132.6720704,-23.8917135
6,-0.12765,51.5073359
7,-1.2093696,54.6857276
8,8.6169093,50.2267699
9,132.6720704,-23.8917135
10,-2.160243,53.407901
11,-157.855676,21.304547
12,-73.9497211,40.6526006
13,-86.1583502,39.7683331
14,-0.12765,51.5073359
15,-75.1635262,39.9527237
16,132.6720704,-23.8917135
17,-0.12765,51.5073359
18,-0.12765,51.5073359
19,-1.9026911,52.4796992
20,1.3199383,52.0941323
21,132.6720704,-23.8917135
22,-0.12765,51.5073359
23,-2.0928095,57.1482429
24,-0.12765,51.5073359
25,-1.1496461,52.9534193
26,7.1780374,51.264018
27,6.1199802,50.963605
28,9.4924096,51.3154546
29,-3.814834,40.4346528
30,-0.12765,51.5073359
31,-71.060511,42.3554334
32,-80.19362,25.7741728
33,-87.6930459,42.0447388
34,2.2695658,48.884683
35,132.6720704,-23.8917135
36,-0.5564726,51.3201891
37,-0.12765,51.5073359
38,-79.44911696639593,43.7543263
39,-0.12765,51.5073359
40,132.6720704,-23.8917135
41,-0.12765,51.5073359
42,-122.419906,37.7790262
43,-80.6520161,41.1035786
44,-2.1812607,53.0162014
45,-2.2451148,53.4794892
46,-0.12765,51.5073359
47,-80.223937,26.0031465
48,-0.419814,51.3856837
49,-74.2107006,40.6639916
50,-76.59026765175719,39.0197327
51,-0.7484153,51.627422
52,-74.0060152,40.7127281
53,-97.727796,31.1171441
54,-1.9026911,52.4796992
55,-74.0060152,40.7127281
56,-74.0060152,40.7127281
57,-104.984862,39.7392364
58,-77.0115135,36.3560545
59,5.3259192,60.3943055
60,132.6720704,-23.8917135
61,-74.0060152,40.7127281
62,0.1186637,52.2055314
63,-0.12765,51.5073359
64,-118.242766,34.0536909
65,10.684738,53.866444
66,9.1896346,45.4641943
67,-0.12765,51.5073359
68,13.3888599,52.5170365
69,9.6874573,45.362828
70,-80.148379,25.9812025
71,9.1896346,45.4641943
72,-0.12765,51.5073359
73,-0.12765,51.5073359
74,12.442349509363797,55.6086002
75,-81.2082,41.1496775
76,11.5485978,45.6355174
77,-76.7738928,37.2104434
78,-91.1458063,40.3941712
79,-78.8660527,43.0407742
80,-124.08284,40.866517
81,-118.111975,34.0159398
82,-1.6056899,51.4428288
83,-86.000977,50.000678
84,-72.9088133,4.099917
85,-73.140943,40.9256538
86,-117.9962165,33.870413
87,-96.444779,45.304687
88,-73.9973608,40.9275987
89,-123.0950506,44.0505054
90,-83.0007065,39.9622601
91,-122.552067,47.2368034
92,0.2817634,51.4507436
93,-2.99168,53.4071991
94,-75.9774183,36.8529841
95,-3.1885456,55.6517553
96,132.6720704,-23.8917135
97,-74.2390353,40.7987113
98,-73.9497211,40.6526006
99,-73.9497211,40.6526006
100,12.3747329,51.3406321
101,-104.984862,39.7392364
102,-0.12765,51.5073359
103,12.4829321,41.8933203
104,-74.0060152,40.7127281
105,-3.4875797,50.9025623
106,132.6720704,-23.8917135
107,-6.4897438,53.3644766
108,-74.9946083,42.1911969
109,6.4816261,46.5730401
110,-0.5800364,44.841225
111,-78.5237447,40.0271453
112,0.083583,51.6452814
113,-73.8785937,40.8466508
114,-118.242766,34.0536909
115,-98.9050337,29.967715
116,4.47775,51.9244424
117,4.8924534,52.3730796
118,2.3200410217200766,48.8588897
119,132.6720704,-23.8917135
120,-0.3033105,51.3937557
121,-118.242766,34.0536909
122,-1.3131692,51.0612766
123,-0.12765,51.5073359
124,-0.12765,51.5073359
125,6.1466014,46.2017559
126,-0.0303183,51.4070938
127,2.3200410217200766,48.8588897
128,-87.6244212,41.8755616
129,-4.2497933,55.8606182
130,-157.855676,21.304547
131,9.921564,45.403976
132,-122.330062,47.6038321
133,-0.12765,51.5073359
134,-73.9497211,40.6526006
135,25.2829111,54.6870458
136,-3.7035825,40.4167047
137,-0.12765,51.5073359
138,-73.8584684,41.085652
139,23.9044817,54.8982139
140,-0.12765,51.5073359
141,132.6720704,-23.8917135
142,-0.27960339379401444,51.55606945
143,30.316229,59.938732
144,-2.8951176,55.9749827
145,-2.2451148,53.4794892
146,-4.2497933,55.8606182
147,-84.2747329,34.0709576
148,-87.6244212,41.8755616
149,2.3200410217200766,48.8588897
150,-118.329523,34.0980031
151,-0.12765,51.5073359
152,12.3747329,51.3406321
153,10.659657776223916,59.414667449999996
154,-0.12765,51.5073359
155,-74.2995923,40.6584358
156,4.9092352,45.7337532
157,16.9179368,59.7760701
158,-0.12765,51.5073359
159,1.4002557,45.115468
160,-8.3959425,43.3709703
161,-2.4543424,50.6096257
162,18.5525964,53.2079479
163,151.5844444,-32.165
164,-79.3839347,43.6534817
165,-77.22764961459416,39.9769235
166,-122.3066395,47.7909667
167,5.3259192,60.3943055
168,-122.271356,37.8044557
169,-74.0215285,40.8570442
170,145.2807256,-38.0997308
171,-122.2034496,47.4799078
172,-119.702667,34.4221319
173,-122.419906,37.7790262
174,-105.05208,39.9403995
175,153.43530793087558,-28.084684000000003
176,16.58042182076424,51.8436068
177,-104.0281241,23.6710956
178,6.1067192,49.6105085
179,-0.12765,51.5073359
180,132.6720704,-23.8917135
181,23.2728118,45.0422947
182,-4.2497933,55.8606182
183,-97.7935767,32.7599475
184,-117.0991967,32.6781085
185,-80.19362,25.7741728
186,-106.7666698,32.2759279
187,-118.242766,34.0536909
188,-9.047855912091004,38.6340657
189,-0.1801094,51.1103444
190,-1.1331969,52.6362
191,-3.1883749,55.9533456
192,-0.12765,51.5073359
193,1.4442469,43.6044622
194,-73.2928943,40.8428759
195,0.3553891,52.1173523
196,-83.0007065,39.9622601
197,-124.08284,40.866517
198,2.4347044,48.5666645
199,2.3200410217200766,48.8588897
200,-122.80378,45.4871723
201,23.9044817,54.8982139
202,-73.8320784,40.9381544
203,-77.43428,37.5385087
204,-76.1474244,43.0481221
205,-0.12765,51.5073359
206,132.6720704,-23.8917135
207,-84.2135309,33.9412127
208,20.4568974,44.8178131
209,26.1027202,44.4361414
210,26.1027202,44.4361414
211,2.2695658,48.884683
212,-79.05578,35.9131542
213,-97.9907362,26.1594305
214,-122.2058272,37.453773
215,132.6720704,-23.8917135
216,-4.1425658,50.3712659
217,4.8924534,52.3730796
218,9.1896346,45.4641943
219,34.8566246,32.3286181
220,-0.12765,51.5073359
221,132.6720704,-23.8917135
